countries,totalgames,total_wins,total_loses,total_x,friendly_wins,friendly_loses,friendly_x,no_friendly_wins,no_friendly_loses,no_friendly_x,totalgames_2015_2021,total_wins_2015_2021,total_loses_2015_2021,total_x_2015_2021,total_goals_scored,total_goals_scored_in,total_goals_scored_2015_2021,total_goals_scored_in_2015_2021,category
South Korea,865,455,188,222,134,85,73,321,103,149,83,47,17,19,1516,784,130,68,Team_with_Fifa_Rank( 1--89)

Vietnam,202,82,73,47,21,9,14,61,64,33,44,21,7,16,339,293,71,41,Team_with_Fifa_Rank( 90--179)

Macau,128,21,92,15,3,24,4,18,68,11,25,6,13,6,107,384,27,44,Team_with_Fifa_Rank( 180--269)

Dominican Republic,117,46,55,16,11,15,3,35,40,13,29,14,12,3,185,193,49,29,Team_with_Fifa_Rank( 90--179)

Cyprus,373,71,240,62,21,53,26,50,187,36,51,12,32,7,325,814,47,89,Team_with_Fifa_Rank( 90--179)

Sierra Leone,256,78,115,63,25,45,12,53,70,51,21,5,10,6,242,347,15,25,Team_with_Fifa_Rank( 90--179)

Nigeria,580,269,144,167,104,67,79,165,77,88,69,35,18,16,861,581,91,60,Team_with_Fifa_Rank( 90--179)

Syria,408,151,156,101,50,75,52,101,81,49,63,26,18,19,590,537,92,76,Team_with_Fifa_Rank( 1--89)

Serbia,286,127,84,75,46,43,29,81,41,46,62,28,17,17,438,307,97,75,Team_with_Fifa_Rank( 1--89)

Chinese Taipei,149,38,90,21,14,17,7,24,73,14,36,14,19,3,192,399,44,77,Team_with_Fifa_Rank( 90--179)

Ghana,604,288,156,160,122,80,79,166,76,81,60,27,14,19,981,619,87,50,Team_with_Fifa_Rank( 1--89)

New Caledonia,227,120,80,27,40,37,12,80,43,15,23,10,6,7,614,322,48,23,Team_with_Fifa_Rank( 90--179)

Vanuatu,174,56,96,22,13,29,10,43,67,12,19,8,7,4,341,387,55,28,Team_with_Fifa_Rank( 90--179)

Fiji,221,97,84,40,30,37,21,67,47,19,34,11,11,12,523,361,70,38,Team_with_Fifa_Rank( 90--179)

Burma,341,151,130,60,22,38,15,129,92,45,35,10,18,7,572,503,37,62,Team_with_Fifa_Rank( 180--269)

Pakistan,190,38,118,34,16,38,16,22,80,18,11,3,7,1,178,448,11,17,Team_with_Fifa_Rank( 180--269)

Sri Lanka,201,40,126,35,9,39,16,31,87,19,27,3,21,3,200,491,15,63,Team_with_Fifa_Rank( 180--269)

German DR,298,140,92,66,96,59,44,44,33,22,0,0,0,0,506,361,0,0,Team_with_Fifa_Rank( 180--269)

